0,xxx,Churchill,Cooperstock,DellaRocca,DiCiccio,Goodrum,Gromala,Gutwin,Harrison,Jenson,Jeremijenko,Karam,Kurtenbach,Middleton,Poulin,Szafron,Trosow,Woodbury,Wyvill
Antle,0,0,0,0,0,0,-101,0,0,-210,0,0,0,0,0,0,0,-1311,0
Baecker,0,0,0,0,0,0,-710,0,0,0,0,0,0,0,0,0,0,0,0
Balakrishnan,0,0,-20,0,0,-10,-10,-20,0,0,0,0,0,0,-10,0,0,0,-10
Bartram,0,0,0,0,0,0,-211,0,0,0,0,0,0,0,0,0,0,-2521,0
Beznosov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0
Biddle,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,-10,0,0
Booth,0,0,-20,0,0,-20,-100,-10,0,0,0,0,0,-10,0,0,0,0,0
Brooks,0,0,-10,0,0,-10,0,-10,0,0,0,0,0,0,-10,0,0,0,-10
Burkell,0,0,-10,0,0,-10,0,0,0,0,0,0,0,0,0,-100,-1021,0,0
Carpendale,0,0,-10,0,0,0,-10,-10,0,0,0,0,0,0,-10,0,0,0,-10
Clarke,0,0,0,0,-101,-110,0,0,0,0,0,0,0,0,0,-100,-10,-10,0
Conati,0,0,0,0,0,0,-100,-10,0,-10,0,0,0,0,0,-10,0,0,0
Cooperstock,0,0,-1000,0,0,-20,0,-20,0,0,0,0,0,-10,0,0,0,0,0
Crow,0,0,0,0,0,0,-10,0,0,-11,0,0,0,-10,0,-10,-10,0,0
Eagleson,0,0,-10,0,-100,0,-10,0,0,0,0,0,0,0,-10,0,-1,0,-10
Fedorova,0,0,-10,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0
FelsD,0,0,0,0,0,0,-10,0,0,0,0,0,0,-11,0,0,-10,0,0
FelsS,0,0,-120,0,0,-10,-100,-20,0,0,0,0,0,0,0,-100,0,-10,0
Fiume,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-10,0,0,0,-10
Freund,0,0,-10,0,-100,-220,0,0,0,0,0,0,0,-10,0,0,-10,0,0
Gardner,0,0,0,0,0,0,-20,0,0,0,0,0,0,-10,0,0,-10,0,0
Gooch,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,-1
Goodrum,0,0,-20,0,-100,-1000,0,-10,0,0,0,0,0,-20,0,0,-10,0,0
Graham,0,0,-10,0,0,0,0,-810,0,0,0,0,0,0,0,0,0,0,0
Gromala,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0,-301,0
Gutwin,0,0,-30,0,0,-10,0,-1000,0,0,0,0,0,0,0,0,0,0,0
Heidrich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hertzmann,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-10
Hoos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hughes,0,0,0,-600,0,0,0,0,0,-310,0,0,0,-10,0,-100,0,0,0
Jenson,0,0,0,-500,0,0,0,0,0,-1000,0,0,0,0,0,-10,0,0,0
Kry,0,0,-11,0,0,-10,0,-10,0,0,0,0,0,0,0,0,0,0,0
Kutulakos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lank,0,0,-10,0,-1,0,0,-10,0,0,0,0,0,-10,-10,0,0,0,-10
Lantin,0,0,-10,0,0,-10,-100,-10,0,0,0,0,0,0,0,0,0,0,0
MacLean,0,0,-10,0,0,0,-20,-100,0,0,0,0,0,0,0,0,0,0,0
Mandryk,0,0,0,0,0,0,0,-1701,0,0,0,0,0,0,0,-110,0,0,0
McGrenere,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,-100,0,-10,0
Middleton,0,0,-10,0,0,-10,0,0,0,0,0,0,0,-1000,0,0,-10,0,0
Mould,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,-20,0,0,0,-20
Penn,0,0,0,0,0,-10,0,-10,0,0,0,0,0,0,0,0,-10,0,0
Poulin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,-20
Prusinkiewicz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,0,0,0,-20
Rockwell,0,0,-10,-500,0,0,0,0,0,-510,0,0,0,0,0,-11,0,0,0
Samavati,0,0,0,0,0,0,-1100,0,0,0,0,0,0,0,-20,0,0,0,-20
Schaeffer,0,0,0,-500,0,0,0,0,0,-500,0,0,0,0,0,-401,0,0,0
Seif.El-Nasr,0,0,0,0,0,0,-101,0,0,-210,0,0,0,0,0,-10,0,-101,0
Shaw,0,0,0,0,0,0,-6111,0,0,0,0,0,0,0,0,-10,0,-601,0
Sheffer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-10
Simon,0,0,0,-1000,0,0,0,0,0,-500,0,0,0,0,0,-110,-10,0,0
Singh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-10
Stroulia,0,0,-20,0,0,-10,0,0,0,0,0,0,0,-10,0,-1,0,0,0
Stuerzlinger,0,0,-30,0,0,-10,0,-220,0,-1,0,0,0,0,-10,0,0,-200,-10
Szafron,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,-1000,0,0,0
Terry,0,0,0,0,-1,0,0,0,0,0,0,0,0,-10,0,0,0,-10,0
Tidafi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-100,0,-10,0
Trosow,0,0,0,0,0,-10,0,0,0,0,0,0,0,-10,0,0,-1000,0,0
Van.De.Panne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,-10
Vertegaal,0,0,-20,0,0,-10,0,-20,0,0,0,0,0,0,0,0,0,0,0
Wakkary,0,0,0,-500,0,0,-101,0,0,-500,0,0,0,0,0,-100,0,-1,0
Wellman,0,0,0,0,0,-10,0,0,0,0,0,0,0,-10,0,-10,-20,0,0
Woodbury,0,0,0,0,0,0,-301,0,0,0,0,0,0,0,0,0,0,-1000,0
Wyvill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,0,0,0,-1000
